ID;Filename;CDLI_Number;IRI;;Time_period;Language;Genre;side;bbox;column;line;charindex;charname;transliteration
HS_1137_06;1_3(disz)_1_1_1_2_HS_1137_06_back.jpg;P134449;http://cdli.ucla.edu/P134449_back_char_1_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113075:577226/155,23,124,88/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[155, 279, 23, 111];-1;1;2;SZUSZANA_(13);1/3(disz)
HS_1137_06;gin2_1_1_1_3_HS_1137_06_back.jpg;P134449;http://cdli.ucla.edu/P134449_back_char_1_3;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113075:577226/288,9,186,83/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[288, 474, 9, 92];-1;1;3;MIR_(NIMGIR);gin2
HS_1137_06;2(disz)_1_1_1_5_HS_1137_06_back.jpg;P134449;http://cdli.ucla.edu/P134449_back_char_1_5;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113075:577226/656,0,96,51/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[656, 752, 0, 51];-1;1;5;MIN_(2);2(disz)
HS_1100_06;igi_1_1_1_1_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_1_1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/53,59,112,89/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[53, 165, 59, 148];-1;1;1;IGI_(SZI__LIM);igi
HS_1100_06;ur_1_1_1_2_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_1_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/159,51,148,75/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[159, 307, 51, 126];-1;1;2;UR;ur
HS_1100_06;d_1_1_3_3_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_3_3;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/304,248,127,88/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[304, 431, 248, 336];-1;3;3;AN;d
HS_1100_06;lugal_1_1_4_1_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_4_1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/23,330,243,102/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[23, 266, 330, 432];-1;4;1;LUGAL;lugal
HS_1100_06;1(disz)_2_1_3_1_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_3_1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/29,232,85,113/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[29, 114, 232, 345];-1;3;1;DISZ_(1);1(disz)
HS_1100_06;ur_2_1_3_2_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_3_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/126,225,173,115/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[126, 299, 225, 340];-1;3;2;UR;ur
HS_1100_06;1(disz)_3_1_2_1_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_2_1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/37,139,93,100/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[37, 130, 139, 239];-1;2;1;DISZ_(1);1(disz)
HS_1100_06;5(disz)_1_1_5_6_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_5_6;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/549,744,91,129/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[549, 640, 744, 873];-1;5;6;IA2_(5);5(disz)
HS_1100_06;1(u)_1_1_5_5_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_5_5;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/462,744,89,132/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[462, 551, 744, 876];-1;5;5;U;1(u)
HS_1100_06;u4_1_1_5_4_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_5_4;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/339,744,124,143/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[339, 463, 744, 887];-1;5;4;UD_(BABBAR);u4
HS_1100_06;ba_1_1_5_7_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_5_7;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/638,733,107,140/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[638, 745, 733, 873];-1;5;7;BA;ba
HS_1100_06;ma_1_1_4_3_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_4_3;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/488,358,150,108/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[488, 638, 358, 466];-1;4;3;MA;ma
HS_1100_06;d_2_1_1_3_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_1_3;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/305,48,117,79/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[305, 422, 48, 127];-1;1;3;AN;d
HS_1100_06;lugal_2_1_2_2_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_2_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/131,116,245,87/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[131, 376, 116, 203];-1;2;2;LUGAL;lugal
HS_1100_06;he2_1_1_2_3_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_2_3;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/377,124,182,109/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[377, 559, 124, 233];-1;2;3;GAN;he2
HS_1100_06;gal2_1_1_2_4_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_2_4;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/554,147,156,105/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[554, 710, 147, 252];-1;2;4;IG_(GL);gal2
HS_1100_06;nin_1_1_3_4_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_3_4;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/457,260,159,97/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[457, 616, 260, 357];-1;3;4;MUNUS_(SAL)+TUG2_(NM)+;nin
HS_1100_06;zu_1_1_3_5_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_3_5;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/616,252,183,104/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[616, 799, 252, 356];-1;3;5;ZU;zu
HS_1100_06;inim_1_1_4_2_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_4_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/257,341,215,118/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[257, 472, 341, 459];-1;4;2;KA;inim
HS_1100_06;bi_1_1_4_4_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_4_4;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/638,342,182,117/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[638, 820, 342, 459];-1;4;4;BI;bi
HS_1100_06;szul_1_1_1_4_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_1_4;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/423,52,145,82/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[423, 568, 52, 134];-1;1;4;SZUL_(DUN);szul
HS_1100_06;pa_1_1_1_5_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_1_5;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/558,77,84,74/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[558, 642, 77, 151];-1;1;5;PA;pa
HS_1100_06;iti_1_1_5_1_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_5_1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/30,746,118,149/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[30, 148, 746, 895];-1;5;1;ITI_(UDESZ);iti
HS_1100_06;e2_1_1_6_2_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_6_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/208,906,151,90/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[208, 359, 906, 996];-1;6;2;E2;e2
HS_1100_06;d_3_1_6_3_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_6_3;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/377,889,122,119/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[377, 499, 889, 1008];-1;6;3;AN;d
HS_1100_06;e3_1_1_-1_-1_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_-1_-1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/638,83,161,96/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[638, 799, 83, 179];-1;-1;-1;UD_(BABBAR)+DU+;e3
HS_1100_06;duru5_1_1_5_3_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_5_3;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/254,756,82,139/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[254, 336, 756, 895];-1;5;3;A;duru5
HS_1100_06;udru_1_1_5_2_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_5_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/139,752,113,138/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[139, 252, 752, 890];-1;5;2;ZI?+A+AN+;udru
HS_1100_06;mu_1_1_6_1_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_6_1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/81,925,127,58/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[81, 208, 925, 983];-1;6;1;MU;mu
HS_1100_06;zal_1_1_5_8_HS_1100_06_back.jpg;P134412;http://cdli.ucla.edu/P134412_back_char_5_8;https://heidicon.ub.uni-heidelberg.de/iiif/2/1112827:576947/745,724,96,140/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[745, 841, 724, 864];-1;5;8;NI;zal
HS_1208_06;szu_1_1_1_1_HS_1208_06_back.jpg;P134519;http://cdli.ucla.edu/P134519_back_char_1_1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113705:577836/52,14,210,130/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[52, 262, 14, 144];-1;1;1;SZU;szu
HS_1208_06;ba_2_1_1_2_HS_1208_06_back.jpg;P134519;http://cdli.ucla.edu/P134519_back_char_1_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113705:577836/307,4,149,135/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[307, 456, 4, 139];-1;1;2;BA;ba
HS_1208_06;ti_1_1_1_3_HS_1208_06_back.jpg;P134519;http://cdli.ucla.edu/P134519_back_char_1_3;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113705:577836/533,-1,238,145/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[533, 771, -1, 144];-1;1;3;TI;ti
HS_1208_06;mu_2_1_3_1_HS_1208_06_back.jpg;P134519;http://cdli.ucla.edu/P134519_back_char_3_1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113705:577836/67,668,169,111/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[67, 236, 668, 779];-1;3;1;MU;mu
HS_1208_06;d_4_1_3_2_HS_1208_06_back.jpg;P134519;http://cdli.ucla.edu/P134519_back_char_3_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113705:577836/263,647,134,106/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[263, 397, 647, 753];-1;3;2;AN;d
HS_1208_06;szu_2_1_3_3_HS_1208_06_back.jpg;P134519;http://cdli.ucla.edu/P134519_back_char_3_3;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113705:577836/404,627,122,126/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[404, 526, 627, 753];-1;3;3;SZU;szu
HS_1208_06;iti_2_1_2_1_HS_1208_06_back.jpg;P134519;http://cdli.ucla.edu/P134519_back_char_2_1;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113705:577836/28,510,203,149/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[28, 231, 510, 659];-1;2;1;ITI_(UDESZ);iti
HS_1208_06;ne_1_1_2_2_HS_1208_06_back.jpg;P134519;http://cdli.ucla.edu/P134519_back_char_2_2;https://heidicon.ub.uni-heidelberg.de/iiif/2/1113705:577836/245,473,309,169/full/0/default.jpg;Ur III (ca. 2100-2000 BC);Sumerian;Administrative;back;[245, 554, 473, 642];-1;2;2;NE;ne
